ActivityText	CategoryLabel
Governments around the world hold elections to choose their political leaders.	Political
The parliament passed a new law regulating campaign donations.	Political
Voters lined up for hours to cast their ballots in the presidential election.	Political
The president signed a treaty with several neighboring countries.	Political
Political parties often clash over foreign policy decisions.	Political
The senator proposed an amendment to the constitution.	Political
Diplomats negotiated a ceasefire agreement after months of conflict.	Political
The prime minister announced a cabinet reshuffle this week.	Political
Citizens protested against the new government policy on taxation.	Political
The opposition party criticized the ruling coalition's handling of the crisis.	Political
International sanctions were imposed following the coup.	Political
The governor called for a special legislative session.	Political
Voter turnout was unusually high during the local elections.	Political
The council debated a new bill on immigration reform.	Political
Political analysts predict a close race in the upcoming election.	Political
The monarchy announced a peaceful transition of power.	Political
Congress approved the budget after weeks of partisan negotiation.	Political
The ambassador met with foreign ministers to discuss trade relations.	Political
A referendum will decide whether the country joins the alliance.	Political
The mayor's administration faced accusations of corruption.	Political
Lawmakers debated the proposed constitutional amendment late into the night.	Political
The campaign focused heavily on national security and diplomacy.	Political
Several countries signed a multilateral treaty to strengthen cooperation.	Political
The judiciary ruled that the new legislation was unconstitutional.	Political
Political stability remains a key concern for international investors.	Political
The candidate's platform emphasized government transparency and accountability.	Political
Parliamentary elections are scheduled for early next year.	Political
The regime faced growing pressure from opposition movements.	Political
Voters expressed frustration with gridlock in the legislature.	Political
The summit brought together heads of state to discuss global governance.	Political
The stock market rallied after the central bank cut interest rates.	Economic
Rising inflation continues to squeeze household budgets.	Economic
The company reported record profits in the last fiscal quarter.	Economic
Investors are worried about a potential recession next year.	Economic
The government announced new tax reforms to boost economic growth.	Economic
Unemployment rates dropped sharply after the recovery began.	Economic
Banks tightened lending standards amid growing debt concerns.	Economic
The startup secured a large round of venture capital funding.	Economic
Export tariffs have strained trade relations between the two nations.	Economic
Consumer spending increased during the holiday shopping season.	Economic
The merger between the two corporations was approved by regulators.	Economic
Wages have not kept pace with the rising cost of living.	Economic
The federal reserve raised interest rates to combat inflation.	Economic
Small businesses struggled to secure loans during the credit crunch.	Economic
The company's shareholders voted to approve the new dividend policy.	Economic
Global supply chains were disrupted, driving up manufacturing costs.	Economic
The nation's GDP grew faster than economists had expected.	Economic
Housing prices surged as mortgage rates hit record lows.	Economic
The firm filed for bankruptcy after years of declining revenue.	Economic
Analysts expect a strong economic recovery later this year.	Economic
The trade deficit widened due to increased imports.	Economic
Entrepreneurs are launching new ventures despite market uncertainty.	Economic
The budget deficit has become a major political issue.	Economic
